,char_count,word_count,avg_word_len,unique_word_ratio,exclaim_count,question_count,hashtag_count,mention_count,url_count,digit_count,allcaps_word_count,uppercase_ratio,elongated_count
char_count,1.0,0.8585801363072606,0.20971082223041104,0.29734827022817895,0.06524974142948978,0.10417614866167474,0.4921933029342187,0.3116379310093942,0.20069068538956125,0.47642583798081223,0.3021367093771922,0.0768044189434459,0.15253075010124018
word_count,0.8585801363072606,1.0,0.2589307214226039,0.42244699503528693,0.03823881528519088,0.10698044603074541,0.10665296815292376,0.10766331828884264,0.012074683451414239,0.09423833943511811,0.24220167037384036,0.08103605733055072,0.070550942554121
avg_word_len,0.20971082223041104,0.2589307214226039,1.0,0.20317817275044556,0.04107504365937211,0.011105335186452752,0.6126001033355094,0.355248890128703,0.3857946253882981,0.6149947668497998,0.0714329620816823,0.2898445100701499,0.1380398414778952
unique_word_ratio,0.29734827022817895,0.42244699503528693,0.20317817275044556,1.0,0.011951787578398888,0.03092654457964409,0.01874094303129718,0.06169798677276333,0.07095418729240995,0.013380874027858067,0.07276013219524398,0.07242997896073348,0.016640586567793377
exclaim_count,0.06524974142948978,0.03823881528519088,0.04107504365937211,0.011951787578398888,1.0,0.02266469268576992,0.04039508376824306,0.013130241548981753,0.0058368082901545226,0.026355518898000228,0.09603437957726423,0.08894275629686718,0.21530556488603575
question_count,0.10417614866167474,0.10698044603074541,0.011105335186452752,0.03092654457964409,0.02266469268576992,1.0,0.011344717652737398,0.04025002406740997,0.010068916216724125,0.0035018882052393393,0.0361460491176738,0.021375019066921377,0.051759669376037584
hashtag_count,0.4921933029342187,0.10665296815292376,0.6126001033355094,0.01874094303129718,0.04039508376824306,0.011344717652737398,1.0,0.13187498009898382,0.13774979253601102,0.9340346829788962,0.1112565320215435,0.1287524339568408,0.14282758634355042
mention_count,0.3116379310093942,0.10766331828884264,0.355248890128703,0.06169798677276333,0.013130241548981753,0.04025002406740997,0.13187498009898382,1.0,0.06075625433529778,0.1782472031307925,0.2492739829139729,0.2764803556127871,0.07378861245990312
url_count,0.20069068538956125,0.012074683451414239,0.3857946253882981,0.07095418729240995,0.0058368082901545226,0.010068916216724125,0.13774979253601102,0.06075625433529778,1.0,0.1277051156384181,0.13962613193914808,0.3439435601938019,0.025006698239570968
digit_count,0.47642583798081223,0.09423833943511811,0.6149947668497998,0.013380874027858067,0.026355518898000228,0.0035018882052393393,0.9340346829788962,0.1782472031307925,0.1277051156384181,1.0,0.10074086471948965,0.1245930574231687,0.13495465954289493
allcaps_word_count,0.3021367093771922,0.24220167037384036,0.0714329620816823,0.07276013219524398,0.09603437957726423,0.0361460491176738,0.1112565320215435,0.2492739829139729,0.13962613193914808,0.10074086471948965,1.0,0.6601056010063248,0.07284546241048313
uppercase_ratio,0.0768044189434459,0.08103605733055072,0.2898445100701499,0.07242997896073348,0.08894275629686718,0.021375019066921377,0.1287524339568408,0.2764803556127871,0.3439435601938019,0.1245930574231687,0.6601056010063248,1.0,0.05327601983809706
elongated_count,0.15253075010124018,0.070550942554121,0.1380398414778952,0.016640586567793377,0.21530556488603575,0.051759669376037584,0.14282758634355042,0.07378861245990312,0.025006698239570968,0.13495465954289493,0.07284546241048313,0.05327601983809706,1.0
